Metric,2023,2022,2021,2020,2019,2018,2017
Fixed Assets,58650000000.0,34730000000.0,26190000000.0,22740000000.0,18260000000.0,15450000000.0,0
Investments,500000000.0,500000000.0,500000000.0,1980000000.0,2220000000.0,527970000.0,0
Cash in Hand and Bank,1540000000.0,117120000.0,374440000.0,150790000.0,1540000000.0,193690000.0,0
Stores and Spares,2490000000.0,1870000000.0,1200000000.0,1060000000.0,887660000.0,779200000.0,0
Stock in Trade,19730000000.0,23140000000.0,11280000000.0,8810000000.0,6280000000.0,5120000000.0,0
Trade Debts,34140000000.0,28600000000.0,15050000000.0,7210000000.0,8250000000.0,7290000000.0,0
Current Assets,65970000000.0,61090000000.0,34090000000.000004,20450000000.0,21360000000.0,16790000000.0,0
Quick Assets,43750000000.0,36080000000.0,21610000000.0,10570000000.0,14190000000.0,10890000000.0,0
Total Assets,125240000000.0,96320000000.0,60690000000.0,45370000000.0,40780000000.0,32750000000.0,0
Interest Bearing Long Term Liability,15410000000.0,14490000000.0,8369999999.999999,6960000000.0,3630000000.0,2250000000.0,0
Non Interest Bearing Long Term Liability,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest Bearing Short Term Liability,44200000000.0,36950000000.0,22190000000.0,14730000000.0,12970000000.0,16149999999.999998,0
* Non Interest Bearing Short Term Liability,13830000000.0,9790000000.0,5770000000.0,3220000000.0,3690000000.0,2870000000.0,0
Trades Payables,12000000000.0,9080000000.0,5550000000.0,3030000000.0,3580000000.0,2730000000.0,0
Total Current Liabilities,58030000000.0,46840000000.0,28000000000.0,17980000000.0,16790000000.0,19490000000.0,0
Total Liabilities,81440000000.0,66379999999.99999,40180000000.0,28090000000.0,22900000000.0,23670000000.0,0
Paid Up Capital,14010000000.0,8980000000.0,8720000000.0,8720000000.0,8720000000.0,1900000000.0,0
Reserves,29790000000.0,20960000000.0,11790000000.0,8560000000.000001,9160000000.0,7180000000.0,0
Preferred Equity,0.0,0.0,0.0,0.0,0.0,0.0,0
Surplus On Revaluation of Assets,0.0,0.0,0.0,0.0,0.0,0.0,0
Shareholder Equity,43810000000.0,29940000000.0,20510000000.0,17280000000.0,17880000000.0,9080000000.0,0
Paid Up Value,10.0,10.0,10.0,10.0,10.0,10.0,0
Number of Shares,1400000000.0,898360000.0,872200000.0,872200000.0,872200000.0,190110000.0,0
