Metric,2023,2022,2021,2020,2019,2018,2017
Sales,7670000000.0,6120000000.0,4950000000.0,4710000000.0,5380000000.0,4280000000.0000005,3930000000.0
COGS,5410000000.0,4010000000.0,3150000000.0,3140000000.0,3290000000.0,2350000000.0,2690000000.0
Gross Profit,2260000000.0,2100000000.0,1800000000.0,1570000000.0,2089999999.9999998,1940000000.0,1240000000.0
Administrative Expenses,1360000000.0,990540000.0,760190000.0,768100000.0,1010000000.0,739970000.0,694830000.0
Selling & Distributive Expenses,669720000.0,555380000.0,547600000.0,455260000.0,669420000.0,571810000.0,442700000.0
Financial Charges,189650000.0,59180000.0,58860000.0,48510000.0,39780000.0,44030000.0,29670000.0
Change In Value of Investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Expenses,547230000.0,352560000.0,297170000.0,302580000.0,0.0,4300000.0,2009999.9999999998
EBITDA,2350000000.0,1690000000.0,849600000.0,953090000.0,1880000000.0,1690000000.0,1120000000.0
EBIT,1670000000.0,1110000000.0,320040000.0,454820000.0,1360000000.0,1160000000.0,391750000.0
EBT,1480000000.0,1050000000.0,261180000.0,406310000.0,1320000000.0,1120000000.0,362080000.0
Tax,192510000.0,139780000.0,69600000.0,161470000.0,75130000.0,49980000.0,41790000.0
PAT,1290000000.0,913210000.0,191590000.0,244840000.0,1240000000.0,1070000000.0000001,320300000.0
EPS,14.63,10.19,2.13,2.73,13.86,11.89,3.58
